customer_id,city,province,region,card_tier,account_status
CUST00001,Markham,ON,East,Standard,Active
CUST00002,Surrey,BC,West,Platinum,Active
CUST00003,Regina,SK,Central,N/A,Inactive
CUST00004,Burnaby,BC,West,N/A,Active
CUST00005,Gatineau,QC,East,Platinum,Active
CUST00006,Calgary,AB,West,Standard,Active
CUST00007,Saint John,NB,East,Gold,Active
CUST00008,Richmond,BC,West,Gold,Active
CUST00009,Hamilton,ON,East,World Elite,Active
CUST00010,Burnaby,BC,West,N/A,Active
CUST00011,Gatineau,QC,East,N/A,Active
CUST00012,Fredericton,NB,East,N/A,Inactive
CUST00013,Dartmouth,NS,East,Gold,Inactive
CUST00014,Richmond,BC,West,Standard,Active
CUST00015,Quebec City,QC,East,N/A,Inactive
CUST00016,Ottawa,ON,East,Standard,Active
CUST00017,Gatineau,QC,East,N/A,Active
CUST00018,London,ON,East,N/A,Active
CUST00019,Winnipeg,MB,Central,Gold,Inactive
CUST00020,Ottawa,ON,East,Standard,Active
CUST00021,Calgary,AB,West,N/A,Active
CUST00022,Brampton,ON,East,N/A,Active
CUST00023,Montreal,QC,East,N/A,Active
CUST00024,Toronto,ON,East,N/A,Suspended
CUST00025,Calgary,AB,West,Standard,Active
CUST00026,London,ON,East,N/A,Active
CUST00027,Laval,QC,East,N/A,Inactive
CUST00028,Lethbridge,AB,West,N/A,Active
CUST00029,Fredericton,NB,East,Platinum,Active
CUST00030,Laval,QC,East,Standard,Active
CUST00031,Richmond,BC,West,N/A,Inactive
CUST00032,Toronto,ON,East,Standard,Inactive
CUST00033,Regina,SK,Central,Gold,Active
CUST00034,Quebec City,QC,East,Standard,Active
CUST00035,Richmond,BC,West,Gold,Active
CUST00036,Calgary,AB,West,Gold,Active
CUST00037,Ottawa,ON,East,N/A,Active
CUST00038,Burnaby,BC,West,N/A,Active
CUST00039,Brampton,ON,East,N/A,Suspended
CUST00040,Hamilton,ON,East,N/A,Active
CUST00041,Ottawa,ON,East,Platinum,Active
CUST00042,Regina,SK,Central,N/A,Active
CUST00043,Red Deer,AB,West,Standard,Active
CUST00044,Hamilton,ON,East,N/A,Active
CUST00045,Brampton,ON,East,Gold,Active
CUST00046,Richmond,BC,West,N/A,Inactive
CUST00047,Gatineau,QC,East,Gold,Active
CUST00048,Toronto,ON,East,N/A,Inactive
CUST00049,London,ON,East,N/A,Inactive
CUST00050,Mississauga,ON,East,Platinum,Inactive
CUST00051,Ottawa,ON,East,N/A,Active
CUST00052,Brampton,ON,East,N/A,Active
CUST00053,Toronto,ON,East,N/A,Active
CUST00054,Laval,QC,East,N/A,Inactive
CUST00055,Lethbridge,AB,West,Gold,Active
CUST00056,Burnaby,BC,West,N/A,Active
CUST00057,Saskatoon,SK,Central,N/A,Active
CUST00058,Mississauga,ON,East,Platinum,Active
CUST00059,Ottawa,ON,East,N/A,Active
CUST00060,Mississauga,ON,East,Platinum,Active
CUST00061,Quebec City,QC,East,N/A,Active
CUST00062,Edmonton,AB,West,Gold,Active
CUST00063,Brampton,ON,East,World Elite,Active
CUST00064,Toronto,ON,East,Gold,Active
CUST00065,Quebec City,QC,East,Standard,Active
CUST00066,Toronto,ON,East,N/A,Active
CUST00067,Burnaby,BC,West,Gold,Active
CUST00068,Saskatoon,SK,Central,Standard,Active
CUST00069,Moncton,NB,East,N/A,Inactive
CUST00070,Surrey,BC,West,N/A,Inactive
CUST00071,Gatineau,QC,East,World Elite,Active
CUST00072,Mississauga,ON,East,Gold,Inactive
CUST00073,Richmond,BC,West,N/A,Active
CUST00074,Hamilton,ON,East,N/A,Active
CUST00075,London,ON,East,N/A,Suspended
CUST00076,Brampton,ON,East,Gold,Inactive
CUST00077,Laval,QC,East,Platinum,Active
CUST00078,Montreal,QC,East,N/A,Inactive
CUST00079,Richmond,BC,West,Standard,Active
CUST00080,Saint John,NB,East,N/A,Active
CUST00081,Regina,SK,Central,Platinum,Active
CUST00082,Winnipeg,MB,Central,Platinum,Active
CUST00083,Regina,SK,Central,Gold,Active
CUST00084,Saskatoon,SK,Central,Platinum,Inactive
CUST00085,Kelowna,BC,West,N/A,Active
CUST00086,Victoria,BC,West,N/A,Active
CUST00087,Edmonton,AB,West,Platinum,Active
CUST00088,Moncton,NB,East,N/A,Active
CUST00089,Toronto,ON,East,N/A,Active
CUST00090,Calgary,AB,West,N/A,Active
CUST00091,Winnipeg,MB,Central,N/A,Active
CUST00092,Quebec City,QC,East,N/A,Active
CUST00093,Surrey,BC,West,N/A,Active
CUST00094,Ottawa,ON,East,N/A,Active
CUST00095,Gatineau,QC,East,N/A,Active
CUST00096,Lethbridge,AB,West,N/A,Inactive
CUST00097,Winnipeg,MB,Central,N/A,Active
CUST00098,London,ON,East,N/A,Active
CUST00099,Vancouver,BC,West,Standard,Inactive
CUST00100,Mississauga,ON,East,N/A,Active
CUST00101,Mississauga,ON,East,N/A,Inactive
CUST00102,Ottawa,ON,East,Platinum,Inactive
CUST00103,Saskatoon,SK,Central,N/A,Active
CUST00104,Calgary,AB,West,N/A,Active
CUST00105,Red Deer,AB,West,N/A,Active
CUST00106,Gatineau,QC,East,Gold,Active
CUST00107,Hamilton,ON,East,N/A,Active
CUST00108,Regina,SK,Central,Platinum,Active
CUST00109,Edmonton,AB,West,N/A,Inactive
CUST00110,Calgary,AB,West,Platinum,Active
CUST00111,Brampton,ON,East,Platinum,Inactive
CUST00112,Toronto,ON,East,N/A,Inactive
CUST00113,Hamilton,ON,East,Standard,Active
CUST00114,Vancouver,BC,West,Platinum,Active
CUST00115,Brandon,MB,Central,N/A,Active
CUST00116,Red Deer,AB,West,Gold,Active
CUST00117,Brampton,ON,East,Standard,Active
CUST00118,London,ON,East,Standard,Active
CUST00119,Mississauga,ON,East,N/A,Active
CUST00120,Hamilton,ON,East,Standard,Inactive
CUST00121,Vancouver,BC,West,N/A,Active
CUST00122,Toronto,ON,East,N/A,Active
CUST00123,Calgary,AB,West,Standard,Inactive
CUST00124,Victoria,BC,West,Platinum,Suspended
CUST00125,Moncton,NB,East,N/A,Inactive
CUST00126,Markham,ON,East,Standard,Active
CUST00127,Brampton,ON,East,N/A,Active
CUST00128,Saint John,NB,East,N/A,Active
CUST00129,Montreal,QC,East,N/A,Active
CUST00130,Brandon,MB,Central,N/A,Active
CUST00131,Dartmouth,NS,East,N/A,Active
CUST00132,Saint John,NB,East,N/A,Inactive
CUST00133,Brampton,ON,East,Gold,Suspended
CUST00134,Calgary,AB,West,Standard,Active
CUST00135,Victoria,BC,West,Gold,Active
CUST00136,Montreal,QC,East,N/A,Suspended
CUST00137,Markham,ON,East,N/A,Inactive
CUST00138,Winnipeg,MB,Central,N/A,Active
CUST00139,London,ON,East,World Elite,Active
CUST00140,Markham,ON,East,World Elite,Active
CUST00141,Brampton,ON,East,N/A,Active
CUST00142,Saskatoon,SK,Central,N/A,Active
CUST00143,Lethbridge,AB,West,Gold,Inactive
CUST00144,Ottawa,ON,East,Gold,Active
CUST00145,Regina,SK,Central,N/A,Inactive
CUST00146,Lethbridge,AB,West,N/A,Active
CUST00147,Brandon,MB,Central,N/A,Inactive
CUST00148,Gatineau,QC,East,Gold,Active
CUST00149,Brampton,ON,East,World Elite,Active
CUST00150,Toronto,ON,East,N/A,Active
CUST00151,Fredericton,NB,East,Platinum,Active
CUST00152,Toronto,ON,East,N/A,Active
CUST00153,Vancouver,BC,West,Standard,Active
CUST00154,Brampton,ON,East,Gold,Active
CUST00155,Winnipeg,MB,Central,N/A,Active
CUST00156,Calgary,AB,West,N/A,Active
CUST00157,Markham,ON,East,N/A,Active
CUST00158,Hamilton,ON,East,N/A,Inactive
CUST00159,Red Deer,AB,West,World Elite,Active
CUST00160,Hamilton,ON,East,Platinum,Active
CUST00161,Richmond,BC,West,Gold,Active
CUST00162,Burnaby,BC,West,N/A,Active
CUST00163,Calgary,AB,West,N/A,Active
