account_id,customer_id,payment_type,card_tier,rewards_rate,credit_limit,account_open_date,account_status
ACC00001,CUST00001,Mastercard,Standard,0.029,10000,2022-06-27,Active
ACC00002,CUST00002,Mastercard,Platinum,0.02,15000,2019-03-12,Active
ACC00003,CUST00003,Visa,N/A,0.0,0,2019-10-23,Inactive
ACC00004,CUST00004,Debit,N/A,0.0,0,2019-04-06,Active
ACC00005,CUST00005,Mastercard,Platinum,0.032,7500,2019-11-20,Active
ACC00006,CUST00006,Mastercard,Standard,0.017,15000,2019-05-16,Active
ACC00007,CUST00007,Mastercard,Gold,0.04,20000,2021-06-20,Active
ACC00008,CUST00008,Mastercard,Gold,0.029,10000,2021-09-02,Active
ACC00009,CUST00009,Mastercard,World Elite,0.014,25000,2022-01-10,Active
ACC00010,CUST00010,Visa,N/A,0.0,0,2022-06-10,Active
ACC00011,CUST00011,Debit,N/A,0.0,0,2019-07-17,Active
ACC00012,CUST00012,Cash,N/A,0.0,0,2023-03-14,Inactive
ACC00013,CUST00013,Mastercard,Gold,0.014,20000,2019-09-23,Inactive
ACC00014,CUST00014,Mastercard,Standard,0.03,25000,2019-07-14,Active
ACC00015,CUST00015,Visa,N/A,0.0,0,2020-08-01,Inactive
ACC00016,CUST00016,Mastercard,Standard,0.017,7500,2023-02-04,Active
ACC00017,CUST00017,Visa,N/A,0.0,0,2020-11-04,Active
ACC00018,CUST00018,Visa,N/A,0.0,0,2021-08-04,Active
ACC00019,CUST00019,Mastercard,Gold,0.027,10000,2023-04-06,Inactive
ACC00020,CUST00020,Mastercard,Standard,0.021,7500,2022-04-01,Active
ACC00021,CUST00021,Cash,N/A,0.0,0,2023-10-09,Active
ACC00022,CUST00022,Debit,N/A,0.0,0,2024-01-30,Active
ACC00023,CUST00023,Visa,N/A,0.0,0,2022-07-18,Active
ACC00024,CUST00024,Cash,N/A,0.0,0,2020-02-10,Suspended
ACC00025,CUST00025,Mastercard,Standard,0.029,7500,2019-11-28,Active
ACC00026,CUST00026,Visa,N/A,0.0,0,2019-01-24,Active
ACC00027,CUST00027,Debit,N/A,0.0,0,2021-09-17,Inactive
ACC00028,CUST00028,Visa,N/A,0.0,0,2020-01-20,Active
ACC00029,CUST00029,Mastercard,Platinum,0.027,15000,2020-03-15,Active
ACC00030,CUST00030,Mastercard,Standard,0.023,25000,2020-07-26,Active
ACC00031,CUST00031,Debit,N/A,0.0,0,2021-11-19,Inactive
ACC00032,CUST00032,Mastercard,Standard,0.037,10000,2020-11-29,Inactive
ACC00033,CUST00033,Mastercard,Gold,0.026,25000,2019-07-17,Active
ACC00034,CUST00034,Mastercard,Standard,0.026,5000,2023-05-21,Active
ACC00035,CUST00035,Mastercard,Gold,0.039,7500,2019-07-13,Active
ACC00036,CUST00036,Mastercard,Gold,0.013,20000,2022-12-30,Active
ACC00037,CUST00037,Visa,N/A,0.0,0,2023-11-24,Active
ACC00038,CUST00038,Debit,N/A,0.0,0,2021-07-15,Active
ACC00039,CUST00039,Cash,N/A,0.0,0,2019-06-19,Suspended
ACC00040,CUST00040,Visa,N/A,0.0,0,2021-10-30,Active
ACC00041,CUST00041,Mastercard,Platinum,0.037,20000,2020-02-04,Active
ACC00042,CUST00042,Debit,N/A,0.0,0,2022-10-25,Active
ACC00043,CUST00043,Mastercard,Standard,0.032,10000,2021-12-12,Active
ACC00044,CUST00044,Visa,N/A,0.0,0,2019-11-07,Active
ACC00045,CUST00045,Mastercard,Gold,0.011,20000,2021-01-12,Active
ACC00046,CUST00046,Debit,N/A,0.0,0,2022-11-21,Inactive
ACC00047,CUST00047,Mastercard,Gold,0.021,5000,2022-10-25,Active
ACC00048,CUST00048,Cash,N/A,0.0,0,2022-07-23,Inactive
ACC00049,CUST00049,Debit,N/A,0.0,0,2020-04-08,Inactive
ACC00050,CUST00050,Mastercard,Platinum,0.015,20000,2021-05-18,Inactive
ACC00051,CUST00051,Cash,N/A,0.0,0,2020-07-24,Active
ACC00052,CUST00052,Cash,N/A,0.0,0,2021-03-31,Active
ACC00053,CUST00053,Debit,N/A,0.0,0,2024-01-20,Active
ACC00054,CUST00054,Debit,N/A,0.0,0,2021-05-12,Inactive
ACC00055,CUST00055,Mastercard,Gold,0.014,10000,2019-01-01,Active
ACC00056,CUST00056,Visa,N/A,0.0,0,2022-12-21,Active
ACC00057,CUST00057,Cash,N/A,0.0,0,2020-09-30,Active
ACC00058,CUST00058,Mastercard,Platinum,0.028,5000,2019-05-02,Active
ACC00059,CUST00059,Cash,N/A,0.0,0,2019-10-15,Active
ACC00060,CUST00060,Mastercard,Platinum,0.033,7500,2021-03-12,Active
ACC00061,CUST00061,Visa,N/A,0.0,0,2022-08-16,Active
ACC00062,CUST00062,Mastercard,Gold,0.017,10000,2019-05-25,Active
ACC00063,CUST00063,Mastercard,World Elite,0.014,15000,2019-09-10,Active
ACC00064,CUST00064,Mastercard,Gold,0.03,7500,2021-06-27,Active
ACC00065,CUST00065,Mastercard,Standard,0.02,25000,2019-08-29,Active
ACC00066,CUST00066,Debit,N/A,0.0,0,2021-12-09,Active
